OBJECTID,MXLOCATION,designvolt,status,description,type,Symbol,Shape__Length,GlobalID
126,MTI-WPA-A,220,COMMISSIONED,Maraetai - Waipapa A,TRANSLINE,220 TRANSLINE,10338.9966703278,53a01f95-e8c6-432d-960b-8bc92680add8
127,NMA-TMH-A,220,COMMISSIONED,North Makarewa - Three Mile Hill A,TRANSLINE,220 TRANSLINE,198809.866080121,774079c3-ab5b-44c7-8008-3a8309984f6c
128,NPL-SFD-A,220,COMMISSIONED,New Plymouth - Stratford A,TRANSLINE,220 TRANSLINE,44722.2236524283,c54df21b-1d29-49dd-a76a-2a93e8d2fbf9
129,OHA-TWZ-A,220,COMMISSIONED,Ohau A - Twizel A,TRANSLINE,220 TRANSLINE,8655.86013553831,e83065ef-db0f-46cb-a2b1-9db031a6391b
130,OHK-EDG-A,220,COMMISSIONED,Ohakuri - Edgecumbe A,TRANSLINE,220 TRANSLINE,95693.3275929876,4e280f3e-9d32-45cb-a452-a147860f5249
131,OKE-TMI-A,110,COMMISSIONED,Okere - Te Matai A,TRANSLINE,110 TRANSLINE,26174.1506031375,b7dff6a3-3fc6-41d4-a213-c3670dc46db5
132,OKI-WRK-A,220,COMMISSIONED,Ohaaki - Wairakei A,TRANSLINE,220 TRANSLINE,22971.9179522816,3e110e54-7406-4d07-a4c3-8e63ebb00f6c
133,OPK-SFD-A,110,COMMISSIONED,Opunake - Stratford A,TRANSLINE,110 TRANSLINE,39342.669490964,8bed72c0-922c-493c-9dd3-227dcc3508c2
135,OWH-DEV-A,110,COMMISSIONED,Owhata - Deviation A,TRANSLINE,110 TRANSLINE,11680.5112907432,4ef9589a-e70f-439f-8fa0-18f0a73ee984
136,PAK-PEN-B-CBL,220,COMMISSIONED,Pakuranga - Penrose B Cable,CABLE,220 CABLE,9005.52479315407,2d72166b-2637-4bf1-a0fd-39f1a8bd1e9c
137,PAO-TEE-A,110,COMMISSIONED,Piako - Tee A,TRANSLINE,110 TRANSLINE,2484.47217059586,aa553a52-7918-48d1-a33c-64578070381e
138,PEN-ROS-A,110,COMMISSIONED,Penrose - Mt Roskill A,TRANSLINE,110 TRANSLINE,10531.9940303195,8ce0b40f-d60f-4089-bd8d-23ad4bfbf341
139,PKK-TKR-A,110,COMMISSIONED,Paekakariki - Takapu Road A,TRANSLINE,110 TRANSLINE,8086.34290000586,3c702f49-f8d0-4ebd-ad5b-7182a42af1f3
140,PPI-THI-A,220,COMMISSIONED,Poihipi - Te Mihi A,TRANSLINE,220 TRANSLINE,1669.20590105492,8c663239-5af5-42cb-b20d-a65e74495d7e
141,PRM-TEE-A,220,COMMISSIONED,Paraparaumu - Tee A,TRANSLINE,220 TRANSLINE,1343.89048825726,104a8715-9095-4bcb-9eb3-95b692b4f8af
142,PRM-TEE-B,220,COMMISSIONED,Paraparaumu - Tee B,TRANSLINE,220 TRANSLINE,872.700924436204,a659663a-e828-4c99-8a2e-318240a7be53
143,RDF-WHI-A,220,COMMISSIONED,Redclyffe - Whirinaki A,TRANSLINE,220 TRANSLINE,23305.9015212972,47db2d49-3506-4240-9dd8-c57a96cf9d20
144,RDF-WTU-A,220,COMMISSIONED,Redclyffe - Whakatu A,TRANSLINE,220 TRANSLINE,9312.02351127233,61e55dbf-f160-488e-9d1b-b182384f92e8
145,ROX-ISL-A,220,COMMISSIONED,Roxburgh - Islington A,TRANSLINE,220 TRANSLINE,375948.339775895,d253899c-b772-49ac-9791-fb157ed5fad4
146,ROX-TMH-A,220,COMMISSIONED,Roxburgh - Three Mile Hill A,TRANSLINE,220 TRANSLINE,101786.834027877,7216960a-33e0-466c-836b-8844707fddea
147,RTO-HTI-A,110,COMMISSIONED,Rangitoto Hills - Hangatiki A,TRANSLINE,110 TRANSLINE,14154.6104738814,bb08aaf7-2309-489c-9090-93ba7cad7928
148,SBK-WPR-A,66,COMMISSIONED,Southbrook - Waipara A,TRANSLINE,66 TRANSLINE,34897.0268998183,b9d38eb6-ac8f-40de-bd74-b9971b193146
149,SFD-TMN-A,220,COMMISSIONED,Stratford - Taumarunui A,TRANSLINE,220 TRANSLINE,109764.733710719,f2b36423-70fb-4eed-9a69-f936f2ba46ef
