X,Y,OBJECTID,MXLOCATION,type,status,description,GlobalID
1484411.891699999571,5374833.28,287,ORO,TEE,COMMISSIONED,Orowaiti Tee,eece9afc-1b65-4fd6-b2ec-a91067c3f57b
1441402.00009999983,5104690.00009999983,288,OPI,TEE,COMMISSIONED,Opihi Tee,609910af-0806-46fd-ad29-e66526082c0c
1525843.00009999983,5187123.00009999983,289,KBT,TEE,COMMISSIONED,Kimberley Tee,3be7bc1b-90a8-4389-ab0e-00dbd0584e71
1763237.00009999983,5447072.00009999983,290,JFD,TEE,COMMISSIONED,Judgeford,0f5fa9bf-12eb-41fd-ba39-db252760939a
1847518.00009999983,5775563.00009999983,291,LFT,TEE,COMMISSIONED,Lichfield Tee,5741fd4d-baaf-4e8f-97ad-e35342eb43cc
1450073.00009999983,5267739.00009999983,292,KHA,TEE,COMMISSIONED,Kawhaka Tee,73956097-3918-44e7-9886-a5b16b2af1e0
1699712.00009999983,5639386.00009999983,293,KPA,TEE,COMMISSIONED,Kaponga Tee,474301ed-81b3-4249-907c-4b21c154a495
1827496.00009999983,5829363.00009999983,295,MVE,TEE,COMMISSIONED,Morrinsville Tee,115375cd-915e-41b8-94a4-1672a133a003
1711710.00009999983,5678043.00009999983,296,MKT,TEE,COMMISSIONED,McKee Tee,e299228a-5677-4fec-ae2b-df60d6b334fb
1742736.00009999983,5428045.00009999983,297,MHT,TEE,COMMISSIONED,Makara Heights Tee,eefbfe50-1379-4b97-ad3a-f213f4bdfb31
1284304.00009999983,4883000.00009999983,298,GOT,TEE,COMMISSIONED,Gore Tee,9edcae6a-5456-4501-b1ac-9773096c9c78
1450631.00009999983,5023912.00009999983,299,GNY,TEE,COMMISSIONED,Glenavy,d8cf2a1b-806a-4ea4-a55c-7d6063dbeb2b
1590028.00009999983,5270269.00009999983,300,CUT,TEE,COMMISSIONED,Culverden Tee,3a476df8-1330-4fc1-b055-a5fdccfe034e
1561600.00009999983,5173630.00009999983,301,CHH,TEE,COMMISSIONED,Christchurch Tee,a9701c5d-7a66-4944-be2f-1d56e808929c
1425912.00009999983,5029886.00009999983,302,BPC,TEE,COMMISSIONED,Black Point Tee,47226cf0-4a1d-49db-a702-79e8b8690344
1504165.00009999983,5176927.00009999983,303,BKD,TEE,COMMISSIONED,Brackendale,c8d5fa7f-cf01-498d-b45b-0f7cc7794af7
1438546.00009999983,5027023.00009999983,304,BDT,TEE,COMMISSIONED,Bells Pond Tee,a95cfd3d-8ffb-456e-820f-d0b265a36e8d
1770083.555,5468017.3782,705,PRT,TEE,COMMISSIONED,Paraparaumu Tee,c201d7c1-7ae8-457c-9c16-6439460f7acb
1695737.4588,5669795.0898,706,JRT,TEE,COMMISSIONED,Junction Road Tee,ea90421a-109a-4810-8ba3-c1cdeb3c748b
1695407.2581,5669688.528699999675,707,JRD,ACSTN,COMMISSIONED,Junction Road,f188140e-fa88-4bfa-bdea-8458615243c4
