Station_Name;Operators_Name;Connection_Type;Generation_Type;Operating_Capacity;Fuel_Name;Installed_Capacity;Max_Unit_Size;Typical_Annual_GWh;Hydro_Max_m3_Storage;Node_Name;Region_Name;Island_Name
Wye Creek;Trustpower;Embedded;Hydro;0;Hydro;1,35;1.35 MW;0;0;FKN0331;OTG - Otago/Southland;SI - South Island
Falls Dam;Trustpower;Embedded;Hydro;1,3;Hydro;1,3;1.3 MW;9;0;NSY0331;OTG - Otago/Southland;SI - South Island
McKays Creek;Trustpower;Embedded;Hydro;1,1;Hydro;1,1;1.1 MW;8;0;HKK0661;WEC - West Coast;SI - South Island
Southern Landfill;Todd Energy;Embedded;Other;1,1;Biogas;1,1;1.1 MW;6;0;CPK0331;WEL - Wellington;NI - North Island
Lulworth Wind;Meridian Energy;Embedded;Wind;1;Wind;1;0.25 MW;3,2;0;BLN0331;NEL - Nelson/Marlbourough;SI - South Island
Onekaka;Onekaka Energy;Embedded;Hydro;1;Hydro;1;1 MW;3,2;0;MPI0661;NEL - Nelson/Marlbourough;SI - South Island
Stratford Austral Pacific;Genesis Energy;Embedded;Unknown;1;Unknown;1;1 MW;5;0;SFD0331;TRN - Taranaki;NI - North Island
Tirohia Landfill;Mighty River Power;Embedded;Other;1;Biogas;1;1 MW;7,5;0;WKO0331;WTO - Waikato;NI - North Island
Kourarau;Genesis Energy;Partially Embedded;Hydro;0,95;Hydro;0,95;0.7 MW;2;0;MST0331;WEL - Wellington;NI - North Island
Cleardale;MainPower;Embedded;Hydro;0,9;Hydro;0,9;0.9 MW;4;0;ASB0661;CAN - Canterbury;SI - South Island
Horotiu Landfill;WEL Networks;Embedded;Other;0,9;Biogas;0,9;0.9 MW;7;0;TWH0331;WTO - Waikato;NI - North Island
Mataura;Simply Energy;Embedded;Hydro;0,9;Hydro;0,9;0.9 MW;4,5;0;GOR0331;OTG - Otago/Southland;SI - South Island
Totara Road;Mighty River Power;Embedded;Thermal;0,8;Unknown;0,8;0.8 MW;2,3;0;LTN0331;CEN - Central;NI - North Island
Wairoa;Contact Energy;Embedded;Unknown;0,8;Unknown;0,8;0.8 MW;0,2;0;WRA0111;HBY - Hawkes Bay;NI - North Island
Weld Cone Wind;Meridian Energy;Embedded;Wind;0,75;Wind;0,75;0.25 MW;3;0;BLN0331;NEL - Nelson/Marlbourough;SI - South Island
Hornby, Christchurch;Meridian Energy;Embedded;Thermal;0,7;Unknown;0,7;0.7 MW;1;0;ISL0331;CAN - Canterbury;SI - South Island
Simeon Quay;Orion;Embedded;Backup generation;0,7;Unknown;0,7;0.7 MW;0;0;BRY0111;CAN - Canterbury;SI - South Island
Lake Grassmere;Meridian Energy;Embedded;Wind;0,66;Wind;0,66;0.66 MW;6;0;BLN0331;NEL - Nelson/Marlbourough;SI - South Island
Mangatangi Dam;Mighty River Power;Partially Embedded;Hydro;0,6;Hydro;0,6;0.6 MW;5;0;BOB0331;AKL - Auckland;NI - North Island
Christchurch Wind Turbine;Meridian Energy;Embedded;Wind;0,5;Wind;0,5;0.5 MW;0,8;0;SPN0331;CAN - Canterbury;SI - South Island
Duffers;Trustpower;Embedded;Hydro;0,5;Hydro;0,5;0.5 MW;2;0;KUM0662;WEC - West Coast;SI - South Island
Maungatapere;Trustpower;Embedded;Thermal;0,5;Unknown;0,5;0.5 MW;0,3;0;MPE0331;NIS - North Isthmus;NI - North Island
Ravensbourne;Meridian Energy;Embedded;Cogeneration;0,5;Unknown;0,5;0.5 MW;1,1;0;HWB0332;OTG - Otago/Southland;SI - South Island
Chathams Wind;CBDEnergy;Embedded;Wind;0,45;Wind;0,45;0.225 MW;1,4;0;OFFGRID;OTH - Other;OT - Other
Kaniere Forks;Trustpower;Embedded;Hydro;0,43;Hydro;0,43;0.43 MW;4;0;HKK0661;WEC - West Coast;SI - South Island
Addington;Meridian Energy;Embedded;Unknown;0,4;Unknown;0,4;0.4 MW;0;0;ADD0111;CAN - Canterbury;SI - South Island
Oxburn/Glenorchy;Pioneer Generation;Embedded;Hydro;0,4;Hydro;0,4;0.4 MW;2;0;FKN0331;OTG - Otago/Southland;SI - South Island
Kaimai 5;Trustpower;Embedded;Hydro;0,35;Hydro;0,35;0.35 MW;2;0;TGA0331;BOP - Bay Of Plenty;NI - North Island
Christchurch Hospital Campus;Meridian Energy;Embedded;Backup generation;0,3;Unknown;0,3;0.3 MW;0;0;ADD0661;CAN - Canterbury;SI - South Island
Forest Research;Todd Energy;Embedded;Thermal;0,3;Gas;0,3;0.3 MW;0;0;ROT0111;BOP - Bay Of Plenty;NI - North Island
Iwitahi;Trustpower;Embedded;Unknown;0,3;Unknown;0,3;0.3 MW;0;0;WRK0331;WTO - Waikato;NI - North Island
Opunake;Trustpower;Embedded;Hydro;0,3;Hydro;0,3;0.3 MW;1,2;0;OPK0331;TRN - Taranaki;NI - North Island
Orion Diesel;Orion;Embedded;Thermal;0,3;Diesel;0,3;0.3 MW;0,1;0;ADD0661;CAN - Canterbury;SI - South Island
Pupu Hydro;Contact Energy;Embedded;Hydro;0,3;Hydro;0,3;0.3 MW;1,7;0;MPI0661;NEL - Nelson/Marlbourough;SI - South Island
Raetihi;Trustpower;Embedded;Hydro;0,3;Hydro;0,3;0.3 MW;1,3;0;OKN0111;CEN - Central;NI - North Island
Aluminium Diecasting Ltd;Meridian Energy;Embedded;Unknown;0,2;Unknown;0,2;0.2 MW;0;0;BRY0111;CAN - Canterbury;SI - South Island
Brooklyn Power Station;Lloyd Wensley;Embedded;Hydro;0,2;Hydro;0,2;0.2 MW;1;0;MOT0111;NEL - Nelson/Marlbourough;SI - South Island
Burwood Hospital;Meridian Energy;Embedded;Unknown;0,2;Unknown;0,2;0.2 MW;0;0;BRY0661;CAN - Canterbury;SI - South Island
Fox;Trustpower;Embedded;Hydro;0,2;Hydro;0,2;0.2 MW;1,9;0;HKK0661;WEC - West Coast;SI - South Island
